category,material,material_cost,labour_hours,labour_rate,quality_score,craftsmanship_complexity,size_scale,season_demand_index,market_reference_price,selling_price
Carved Woodwork,Seasoned Teakwood,523.91,63.0,150.0,2.9,3,3,1.13,16631.49,14916.09
Dhokra & Brass Craft,Bronze Alloy,216.52,58.6,180.0,3.0,4,5,1.21,20022.01,18443.37
Blue Pottery & Ceramics,Ceramic Glaze,97.1,4.8,100.0,4.0,2,4,1.39,888.73,1075.4
Folk Paintings,Tussar Silk Fabric,1005.56,78.7,70.0,2.6,3,5,1.13,11986.79,9895.2
Blue Pottery & Ceramics,Quartz Powder Frit,2416.83,65.2,70.0,2.5,2,4,1.02,10750.48,9307.56
Dhokra & Brass Craft,Bronze Alloy,1026.37,17.0,120.0,3.3,2,4,0.99,5228.16,4312.35
Blue Pottery & Ceramics,Ceramic Glaze,1168.41,33.4,120.0,4.0,4,1,1.38,8696.37,10734.98
Handloom Textiles,Mulberry Silk,2415.92,49.7,150.0,2.9,5,1,0.91,18507.98,14088.75
Terracotta & Clay,Natural Alluvial Clay,560.89,3.4,100.0,3.0,3,3,1.29,1295.03,1537.71
Terracotta & Clay,Black Clay,2137.09,37.6,70.0,2.7,5,3,1.2,7451.7,8121.71
Folk Paintings,Tussar Silk Fabric,1438.21,32.5,200.0,4.3,1,5,1.18,13336.19,12598.04
Terracotta & Clay,Black Clay,1114.65,5.0,150.0,3.0,1,4,1.18,2447.35,2790.15
Carved Woodwork,Sheesham Wood,417.18,49.5,200.0,4.4,4,5,0.94,17951.89,14924.04
Blue Pottery & Ceramics,Ceramic Glaze,2035.65,51.8,180.0,3.6,4,4,1.11,19084.21,18372.67
Folk Paintings,Tussar Silk Fabric,864.91,12.4,70.0,3.3,1,1,1.01,2911.29,2344.7
Terracotta & Clay,Black Clay,96.82,42.3,70.0,3.7,1,3,1.03,4013.39,4006.82
Dhokra & Brass Craft,Bronze Alloy,609.41,46.0,120.0,3.4,1,2,1.38,9975.61,10566.8
Terracotta & Clay,Natural Alluvial Clay,769.31,5.8,70.0,4.9,4,5,1.07,1762.96,1877.89
Terracotta & Clay,Black Clay,1727.31,43.9,85.0,5.0,4,3,1.08,8188.21,9511.61
Handloom Textiles,Mulberry Silk,1613.14,44.3,70.0,2.9,3,5,1.33,8131.89,8255.96
Carved Woodwork,Rosewood,612.98,57.8,200.0,3.1,4,1,1.25,21180.99,22120.88
Terracotta & Clay,Black Clay,905.38,11.7,200.0,3.9,2,3,1.01,4462.4,4462.88
Blue Pottery & Ceramics,Quartz Powder Frit,1330.26,23.1,70.0,2.7,4,5,1.35,4951.4,5255.23
Dhokra & Brass Craft,Copper Brass Blend,1836.81,72.1,180.0,4.4,4,3,1.37,27555.55,32115.65
Carved Woodwork,Sheesham Wood,1698.95,47.7,180.0,4.9,1,5,1.04,15658.84,14893.55
Dhokra & Brass Craft,Recycled Bell Metal Brass,622.73,57.8,70.0,3.7,4,3,1.23,8683.84,8044.75
Terracotta & Clay,Black Clay,969.87,23.4,180.0,4.0,5,3,1.35,8096.67,11133.09
Folk Paintings,Handmade Vasli Paper,1476.11,40.9,150.0,3.1,3,4,0.91,14004.44,10065.57
Terracotta & Clay,Natural Alluvial Clay,2486.81,39.2,180.0,4.8,3,4,0.91,13717.79,13167.48
Handloom Textiles,Chanderi Cotton-Silk,2411.96,68.7,200.0,3.3,1,3,0.98,25439.34,20787.3
Terracotta & Clay,Terracotta Red Clay,2345.49,56.6,180.0,2.7,2,3,1.05,17233.55,17114.9
Terracotta & Clay,Black Clay,1795.56,45.6,85.0,4.5,3,2,1.33,8152.87,10775.91
Handloom Textiles,Mulberry Silk,92.55,51.3,120.0,4.1,4,3,1.07,11247.39,10032.98
Folk Paintings,Tussar Silk Fabric,1206.75,44.8,150.0,4.6,2,1,0.92,13951.08,10711.35
Folk Paintings,Tussar Silk Fabric,951.66,12.8,70.0,4.6,4,4,1.38,3547.51,4088.07
Carved Woodwork,Sheesham Wood,1388.34,52.1,120.0,2.8,2,4,1.26,12186.34,12176.23
Dhokra & Brass Craft,Recycled Bell Metal Brass,1045.15,36.4,85.0,2.7,5,2,1.38,8019.6,8445.02
Handloom Textiles,Handspun Cotton,499.37,15.0,85.0,3.1,1,5,1.04,2794.63,2384.47
Handloom Textiles,Chanderi Cotton-Silk,1670.21,36.5,150.0,3.5,4,2,1.08,12861.38,11390.65
Blue Pottery & Ceramics,Ceramic Glaze,1269.71,39.5,70.0,3.7,5,2,1.21,7060.74,7943.74
Handloom Textiles,Mulberry Silk,711.36,4.2,100.0,3.8,1,5,1.24,1781.89,1842.0
Blue Pottery & Ceramics,Quartz Powder Frit,2178.62,52.0,120.0,3.9,2,3,1.22,12964.67,14012.0
Terracotta & Clay,Natural Alluvial Clay,1400.39,75.5,100.0,4.6,2,3,1.0,12306.79,12572.59
Handloom Textiles,Mulberry Silk,1729.51,29.2,100.0,3.2,4,2,1.25,8369.12,8421.24
Handloom Textiles,Chanderi Cotton-Silk,2203.48,59.6,150.0,4.9,4,2,1.11,20058.26,20825.08
Dhokra & Brass Craft,Bronze Alloy,685.04,47.7,200.0,4.8,5,4,1.11,19811.02,19777.46
Handloom Textiles,Chanderi Cotton-Silk,1905.99,10.9,70.0,3.8,4,1,1.06,4804.18,4252.03
Carved Woodwork,Seasoned Teakwood,2271.02,10.0,200.0,4.9,4,3,1.15,7431.57,7975.91
Handloom Textiles,Handspun Cotton,789.57,28.3,100.0,3.0,5,1,0.96,6786.69,5386.82
Dhokra & Brass Craft,Bronze Alloy,2424.14,56.0,85.0,4.0,5,5,1.01,13919.27,12283.22
Terracotta & Clay,Terracotta Red Clay,2238.39,14.3,150.0,2.7,3,5,1.09,6301.12,6207.73
Handloom Textiles,Mulberry Silk,1786.3,22.2,100.0,2.8,3,5,0.91,6910.87,5048.02
Carved Woodwork,Sheesham Wood,216.25,12.1,150.0,4.6,1,3,1.19,3092.58,3266.87
Terracotta & Clay,Natural Alluvial Clay,2182.01,20.2,180.0,4.5,5,5,0.92,9090.64,8828.95
Handloom Textiles,Mulberry Silk,2317.64,73.8,120.0,3.9,4,1,1.16,20112.55,20385.55
Terracotta & Clay,Natural Alluvial Clay,1766.56,32.6,200.0,2.6,4,2,1.38,12429.84,15960.91
Folk Paintings,Handmade Vasli Paper,751.26,17.5,85.0,3.5,4,2,1.03,4298.42,3335.52
Dhokra & Brass Craft,Bronze Alloy,158.2,24.5,150.0,4.5,4,5,0.97,7129.75,5781.53
Dhokra & Brass Craft,Recycled Bell Metal Brass,2356.09,35.1,150.0,4.0,2,2,1.37,12993.96,14214.64
Terracotta & Clay,Terracotta Red Clay,2469.21,14.6,150.0,4.4,1,3,1.32,6115.21,7997.22
Handloom Textiles,Handspun Cotton,1214.24,34.9,70.0,2.5,4,1,1.17,6583.03,6021.4
Handloom Textiles,Handspun Cotton,2366.33,68.4,70.0,3.1,1,1,1.38,11268.07,12136.03
Handloom Textiles,Mulberry Silk,2205.29,61.3,85.0,3.4,2,2,1.16,12236.05,11517.12
Carved Woodwork,Seasoned Teakwood,1415.61,46.2,180.0,4.5,1,5,1.21,14816.38,16584.95
Blue Pottery & Ceramics,Porcelain Clay,595.37,13.5,120.0,5.0,2,2,1.22,3411.67,3806.95
Blue Pottery & Ceramics,Quartz Powder Frit,1323.85,63.3,120.0,3.2,2,3,1.25,13736.57,14536.43
Handloom Textiles,Mulberry Silk,2322.34,40.9,120.0,2.7,5,2,1.21,13556.89,12425.76
Dhokra & Brass Craft,Copper Brass Blend,263.59,12.9,200.0,4.0,3,4,0.99,5068.7,4091.29
Terracotta & Clay,Black Clay,2195.85,42.7,85.0,4.0,3,3,1.31,8373.94,10344.77
Folk Paintings,Handmade Vasli Paper,1407.89,44.2,120.0,3.0,2,1,1.15,11812.93,9739.2
Handloom Textiles,Chanderi Cotton-Silk,175.14,64.6,70.0,4.2,3,5,0.9,8102.57,6407.61
Folk Paintings,Cotton Canvas,1576.18,31.4,85.0,4.4,3,3,1.26,7811.13,7914.34
Folk Paintings,Tussar Silk Fabric,1367.71,11.3,85.0,3.4,3,1,1.27,4283.91,4162.54
Terracotta & Clay,Black Clay,295.87,44.2,70.0,4.7,4,1,1.24,5084.8,6210.33
Dhokra & Brass Craft,Recycled Bell Metal Brass,1286.23,9.7,200.0,4.3,1,4,0.96,5250.69,4142.33
Blue Pottery & Ceramics,Ceramic Glaze,671.33,41.4,180.0,4.0,1,5,0.95,11941.3,9873.08
Folk Paintings,Cotton Canvas,675.22,15.4,100.0,2.7,1,3,1.16,3721.57,3162.56
Folk Paintings,Cotton Canvas,1473.92,73.6,200.0,4.5,1,3,1.31,27205.79,28558.6
Blue Pottery & Ceramics,Porcelain Clay,1374.79,39.7,150.0,4.4,2,4,1.11,11287.88,10917.44
Terracotta & Clay,Terracotta Red Clay,1938.03,9.7,180.0,2.9,4,5,1.17,5526.04,6044.03
Terracotta & Clay,Terracotta Red Clay,894.58,13.3,200.0,3.9,2,5,1.24,4887.55,6343.39
Dhokra & Brass Craft,Bronze Alloy,338.21,68.5,120.0,4.9,5,3,1.37,16581.53,18804.21
Carved Woodwork,Rosewood,240.92,60.1,180.0,2.6,5,3,1.3,20044.29,20504.62
